,date,state,abbrev,population,positive,active,probableCases,totalTestResultsSource,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
58,2020-10-18,District of Columbia,DC,720687,16370.0,2928.0,,totalTestEncountersViral,78.0,,20.0,8.0,12801.0,A+,10/17/2020 00:00,2020-10-17T00:00:00Z,10/16 20:00,641.0,,,,,,,,466805.0,240959.0,,,,,,,,,,,0,0,0,0,0,,4.4,3171.0228
59,2020-10-18,Delaware,DE,982895,23093.0,10410.0,1096.0,posNeg,106.0,,21.0,,12018.0,A+,10/17/2020 18:00,2020-10-17T18:00:00Z,10/17 14:00,665.0,,506109.0,,,21997.0,584.0,81.0,,327296.0,,,,,,,,,,,0,0,0,0,0,,2.2,2162.369
60,2020-10-18,Florida,FL,21992985,755020.0,738852.0,25078.0,posNeg,2005.0,47592.0,,,0.0,A,10/17/2020 23:59,2020-10-17T23:59:00Z,10/17 19:59,16168.0,47592.0,8277870.0,971097.0,7262384.0,729942.0,16168.0,,,5729634.0,539844.0,51923.0,487730.0,526404.0,50676.0,475588.0,,,,,0,0,0,0,0,,2.6,57181.761000000006
61,2020-10-18,Georgia,GA,10736059,340558.0,332920.0,,totalTestsViral,1654.0,30376.0,,,0.0,A,10/18/2020 14:50,2020-10-18T14:50:00Z,10/18 10:50,7638.0,30376.0,3298458.0,318366.0,2980092.0,340558.0,,,,,319165.0,27884.0,,,,,,,,,0,0,0,0,0,,2.4,25766.541599999997
62,2020-10-18,Hawaii,HI,1412687,14143.0,2962.0,194.0,totalTestEncountersViral,96.0,1001.0,22.0,15.0,10995.0,B,10/17/2020 18:00,2020-10-17T18:00:00Z,10/17 14:00,186.0,1001.0,,13890.0,,13949.0,,,473581.0,308090.0,,,,,,,,,,,0,0,0,0,0,,1.9,2684.1052999999997
63,2020-10-18,Iowa,IA,3179849,101960.0,18621.0,,posNeg,475.0,,108.0,45.0,81811.0,A+,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,1528.0,,,,,101960.0,,,,834160.0,,,,64094.0,3667.0,60388.0,65140.0,5161.0,,,0,0,0,0,0,,3.0,9539.547
64,2020-10-18,Idaho,ID,1826156,52582.0,26374.0,5828.0,totalTestsPeopleViral,221.0,2193.0,55.0,,25679.0,A,10/17/2020 19:00,2020-10-17T19:00:00Z,10/17 15:00,529.0,2193.0,460230.0,,,46754.0,487.0,42.0,,350312.0,,,,,,,,,,,0,0,0,0,0,,1.9,3469.6964
65,2020-10-18,Illinois,IL,12659682,347635.0,338161.0,3587.0,posNeg,2012.0,,408.0,157.0,0.0,A,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,9474.0,,6775553.0,,,344048.0,9214.0,260.0,,,,,,,,,,,,,0,0,0,0,0,,2.5,31649.205
66,2020-10-18,Indiana,IN,6745354,147582.0,36497.0,,totalTestsViral,1387.0,14715.0,403.0,136.0,107148.0,A+,10/17/2020 23:59,2020-10-17T23:59:00Z,10/17 19:59,3937.0,14715.0,2512174.0,144379.0,,,3704.0,233.0,,1555437.0,,,,,,,,,,,0,0,0,0,0,,2.7,18212.455800000003
67,2020-10-18,Kansas,KS,2910357,70855.0,67617.0,,posNeg,456.0,3370.0,123.0,47.0,2379.0,A+,10/16/2020 10:00,2020-10-16T10:00:00Z,10/16 06:00,859.0,3370.0,,,,,,,,589189.0,,,,,,,,,,,0,0,0,0,0,,3.3,9604.1781
